corrected_name,standardized_name,id
Indian Robin,Indian Robin - Copsychus fulicatus,indrob1
Shikra,Shikra - Accipiter badius,shikra1
Long-tailed Nightjar,Long-tailed Nightjar - Caprimulgus climacurus,lotnig1
Ashy-crowned finch lark,Ashy-crowned Sparrow-Lark (Ashy-crowned Finch-Lark) - Eremopterix griseus,ascspl1
House Swift,Little Swift (Indian House Swift) - Apus affinis,litswi1
Baya weaver,Baya Weaver - Ploceus philippinus,baywea1
Indian Roller,Indian Roller - Coracias benghalensis,indrol2
Neophron,Egyptian Vulture - Neophron percnopterus,egyvul1
White-throated Munia,Indian Silverbill (White-throated Munia) - Euodice malabarica,indsil
Black eagle,Black Eagle - Ictinaetus malaiensis,blaeag1
Reed Warbler,Blyth's Reed Warbler - Acrocephalus dumetorum,blrwar1
Black-winged kite,Black-winged Kite (Black-shouldered Kite) - Elanus caeruleus,bkskit1
White-eyed Buzzard,White-eyed Buzzard - Butastur teesa,whebuz1
Bee Eater,Blue-bearded Bee-eater - Nyctyornis athertoni,bbbeat1
Bee Eater,Asian Green Bee-eater - Merops orientalis,grnbee3
Loten Sunbird,Loten's Sunbird (Long-billed Sunbird) - Cinnyris lotenius,lobsun2
Magpie Robin,Oriental Magpie-Robin - Copsychus saularis,magrob
Spotted Owlet,Spotted Owlet - Athene brama,spoowl1
Bulbul,White-browed Bulbul - Pycnonotus luteolus,whbbul2
Bulbul,Red-whiskered Bulbul - Pycnonotus jocosus,rewbul
Bulbul,Red-vented Bulbul - Pycnonotus cafer,revbul
golden oriole,Indian Golden Oriole - Oriolus kundoo,ingori1
Kestrel,Eurasian Kestrel (Common Kestrel) - Falco tinnunculus,eurkes
Black drongo,Black Drongo - Dicrurus macrocercus,bladro1
Short-toed Eagle,Short-toed Snake-Eagle - Circaetus gallicus,shteag1
dusky crag martin,Dusky Crag-Martin - Ptyonoprogne concolor,duscrm1
Plain Prinia,Plain Prinia - Prinia inornata,plapri1
Woodshrike,Common Woodshrike - Tephrodornis pondicerianus,comwoo1
Steppe Eagle,Steppe Eagle - Aquila nipalensis,steeag1
Swift,Alpine Swift - Tachymarptis melba,alpswi1
Swift,Little Swift (Indian House Swift) - Apus affinis,litswi1
Swift,Asian Palm Swift - Cypsiurus balasiensis,aspswi1
Brown Shrike,Brown Shrike - Lanius cristatus,brnshr
Booted Eagle,Booted Eagle - Hieraaetus pennatus,booeag1
