corrected_name,standardized_name,id
Dove,Red Collared-Dove (Red Turtle-Dove) - Streptopelia tranquebarica,recdov1
Dove,Spotted Dove - Spilopelia chinensis,spodov
Dove,Laughing Dove (Little Brown Dove) - Spilopelia senegalensis,laudov1
Dove,Barred Cuckoo-Dove - Macropygia unchall,bacdov1
Dove,Brown Cuckoo-Dove - Macropygia phasianella,brcdov1
Dove,Flores Sea Cuckoo-Dove - Macropygia macassariensis,ducdov1
Dove,Timor Cuckoo-Dove - Macropygia magna,timcud1
Dove,Tanimbar Cuckoo-Dove - Macropygia timorlaoensis,tancud1
Dove,Amboyna Cuckoo-Dove - Macropygia amboinensis,sbcdov1
Dove,Sultan's Cuckoo-Dove - Macropygia doreya,sulcud1
Dove,Andaman Cuckoo-Dove - Macropygia rufipennis,ancdov1
Dove,Philippine Cuckoo-Dove - Macropygia tenuirostris,phcdov1
Dove,Ruddy Cuckoo-Dove - Macropygia emiliana,rucdov1
Dove,Enggano Cuckoo-Dove - Macropygia cinnamomea,engcud1
Dove,Barusan Cuckoo-Dove - Macropygia modiglianii,barcud1
Dove,Black-billed Cuckoo-Dove - Macropygia nigrirostris,bbcdov1
Dove,Mackinlay's Cuckoo-Dove - Macropygia mackinlayi,macdov1
Dove,Little Cuckoo-Dove - Macropygia ruficeps,licdov1
Dove,Great Cuckoo-Dove - Reinwardtoena reinwardti,grcdov2
Dove,Pied Cuckoo-Dove - Reinwardtoena browni,picdov1
Dove,Crested Cuckoo-Dove - Reinwardtoena crassirostris,crcdov1
Dove,White-faced Cuckoo-Dove - Turacoena manadensis,wfcdov1
Dove,Sula Cuckoo-Dove - Turacoena sulaensis,sulcud2
Dove,Slaty Cuckoo-Dove - Turacoena modesta,slacud1
Dove,Emerald-spotted Wood-Dove - Turtur chalcospilos,eswdov1
Dove,Black-billed Wood-Dove - Turtur abyssinicus,bbwdov1
Dove,Blue-spotted Wood-Dove - Turtur afer,bswdov1
Dove,Tambourine Dove - Turtur tympanistria,tamdov1
Dove,Blue-headed Wood-Dove - Turtur brehmeri,bhwdov1
Dove,Namaqua Dove - Oena capensis,namdov1
Dove,Asian Emerald Dove - Chalcophaps indica,emedov2
Dove,Pacific Emerald Dove - Chalcophaps longirostris,emedov3
Dove,Stephan's Dove - Chalcophaps stephani,stedov1
Dove,Wetar Ground Dove - Pampusana hoedtii,wegdov1
Dove,Shy Ground Dove - Pampusana stairi,frgdov1
Dove,Santa Cruz Ground Dove - Pampusana sanctaecrucis,scgdov1
Dove,Thick-billed Ground Dove - Pampusana salamonis,tbgdov1
Dove,Tanna Ground Dove - Pampusana ferruginea,tangrd1
Dove,Bronze Ground Dove - Pampusana beccarii,brgdov1
Dove,Palau Ground Dove - Pampusana canifrons,pagdov1
Dove,White-bibbed Ground Dove - Pampusana jobiensis,wbgdov1
Dove,Marquesas Ground Dove - Pampusana rubescens,margrd1
Dove,Caroline Islands Ground Dove - Pampusana kubaryi,cigdov1
Dove,Polynesian Ground Dove - Pampusana erythroptera,pogdov1
Dove,White-throated Ground Dove - Pampusana xanthonura,wtgdov1
Dove,Norfolk Ground Dove - Pampusana norfolkensis,norgrd1
Dove,Diamond Dove - Geopelia cuneata,diadov1
Dove,Zebra Dove - Geopelia striata,zebdov
Dove,Peaceful Dove - Geopelia placida,peadov1
Dove,Barred Dove - Geopelia maugeus,bardov2
Dove,Bar-shouldered Dove - Geopelia humeralis,basdov1
Dove,Inca Dove - Columbina inca,incdov
Dove,Common Ground Dove - Columbina passerina,cogdov
Dove,Plain-breasted Ground Dove - Columbina minuta,pbgdov1
Dove,Ruddy Ground Dove - Columbina talpacoti,rugdov
Dove,Ecuadorian Ground Dove - Columbina buckleyi,ecgdov1
Dove,Scaled Dove - Columbina squammata,scadov1
Dove,Picui Ground Dove - Columbina picui,pigdov1
Dove,Croaking Ground Dove - Columbina cruziana,crgdov1
Dove,Blue-eyed Ground Dove - Columbina cyanopis,begdov2
Dove,Blue Ground Dove - Claravis pretiosa,blgdov1
Dove,Maroon-chested Ground Dove - Paraclaravis mondetoura,mcgdov1
Dove,Purple-winged Ground Dove - Paraclaravis geoffroyi,pwgdov1
Dove,Bare-faced Ground Dove - Metriopelia ceciliae,bfgdov1
Dove,Bare-eyed Ground Dove - Metriopelia morenoi,begdov1
Dove,Black-winged Ground Dove - Metriopelia melanoptera,bwgdov1
Dove,Golden-spotted Ground Dove - Metriopelia aymara,gsgdov1
Dove,Long-tailed Ground Dove - Uropelia campestris,ltgdov1
Dove,Blue-headed Quail-Dove - Starnoenas cyanocephala,bhqdov1
Dove,Purple Quail-Dove - Geotrygon purpurata,sapqud1
Dove,Sapphire Quail-Dove - Geotrygon saphirina,sapqud2
Dove,Crested Quail-Dove - Geotrygon versicolor,crqdov1
Dove,Ruddy Quail-Dove - Geotrygon montana,ruqdov
Dove,Violaceous Quail-Dove - Geotrygon violacea,viqdov1
Dove,Grey-fronted Quail-Dove - Geotrygon caniceps,gfqdov
Dove,White-fronted Quail-Dove - Geotrygon leucometopia,wfqdov
Dove,Key West Quail-Dove - Geotrygon chrysia,kwqdov
Dove,Bridled Quail-Dove - Geotrygon mystacea,brqdov1
Dove,Olive-backed Quail-Dove - Leptotrygon veraguensis,obqdov1
Dove,White-tipped Dove - Leptotila verreauxi,whtdov
Dove,Caribbean Dove - Leptotila jamaicensis,cardov1
Dove,Grey-chested Dove - Leptotila cassinii,grcdov1
Dove,Tolima Dove - Leptotila conoveri,toldov1
Dove,Ochre-bellied Dove - Leptotila ochraceiventris,ocbdov1
Dove,Grey-headed Dove - Leptotila plumbeiceps,gyhdov1
Dove,Grey-fronted Dove - Leptotila rufaxilla,grfdov1
Dove,Grenada Dove - Leptotila wellsi,gredov1
Dove,Pallid Dove - Leptotila pallida,paldov1
Dove,Large-tailed Dove - Leptotila megalura,latdov1
Dove,Tuxtla Quail-Dove - Zentrygon carrikeri,tuqdov1
Dove,Buff-fronted Quail-Dove - Zentrygon costaricensis,bfqdov1
Dove,Purplish-backed Quail-Dove - Zentrygon lawrencii,pbqdov1
Dove,White-faced Quail-Dove - Zentrygon albifacies,wfqdov1
Dove,White-throated Quail-Dove - Zentrygon frenata,wtqdov1
Dove,Lined Quail-Dove - Zentrygon linearis,liqdov1
Dove,Chiriqui Quail-Dove - Zentrygon chiriquensis,chqdov1
Dove,Russet-crowned Quail-Dove - Zentrygon goldmani,rcqdov1
Dove,West Peruvian Dove - Zenaida meloda,wepdov1
Dove,White-winged Dove - Zenaida asiatica,whwdov
Dove,Zenaida Dove - Zenaida aurita,zendov
Dove,Galapagos Dove - Zenaida galapagoensis,galdov1
Dove,Eared Dove - Zenaida auriculata,eardov1
Dove,Mourning Dove - Zenaida macroura,moudov
Dove,Socorro Dove - Zenaida graysoni,socdov1
Dove,Sulawesi Ground Dove - Gallicolumba tristigmata,sugdov1
Dove,Cinnamon Ground Dove - Gallicolumba rufigula,cigdov2
Dove,White-eared Brown-Dove - Phapitreron leucotis,whedov1
Dove,Amethyst Brown-Dove - Phapitreron amethystinus,amedov1
Dove,Mindanao Brown-Dove - Phapitreron brunneiceps,daedov2
Dove,Tawitawi Brown-Dove - Phapitreron cinereiceps,daedov3
Dove,Black-backed Fruit-Dove - Ptilinopus cinctus,bbfdov1
Dove,Black-banded Fruit-Dove - Ptilinopus alligator,bbfdov2
Dove,Red-naped Fruit-Dove - Ptilinopus dohertyi,rnfdov1
Dove,Pink-headed Fruit-Dove - Ptilinopus porphyreus,phfdov1
Dove,Yellow-breasted Fruit-Dove - Ptilinopus occipitalis,ybfdov2
Dove,Flame-breasted Fruit-Dove - Ptilinopus marchei,fbfdov1
Dove,Cream-breasted Fruit-Dove - Ptilinopus merrilli,crbfrd1
Dove,Red-eared Fruit-Dove - Ptilinopus fischeri,refdov1
Dove,Jambu Fruit-Dove - Ptilinopus jambu,jafdov1
Dove,Maroon-chinned Fruit-Dove - Ptilinopus epius,macfrd1
Dove,Banggai Fruit-Dove - Ptilinopus subgularis,macfrd3
Dove,Sula Fruit-Dove - Ptilinopus mangoliensis,macfrd2
Dove,Black-chinned Fruit-Dove - Ptilinopus leclancheri,bcfdov1
Dove,Scarlet-breasted Fruit-Dove - Ptilinopus bernsteinii,sbfdov1
Dove,Wompoo Fruit-Dove - Ptilinopus magnificus,wofdov1
Dove,Pink-spotted Fruit-Dove - Ptilinopus perlatus,psfdov1
Dove,Ornate Fruit-Dove - Ptilinopus ornatus,orfdov1
Dove,Tanna Fruit-Dove - Ptilinopus tannensis,tafdov1
Dove,Orange-fronted Fruit-Dove - Ptilinopus aurantiifrons,offdov1
Dove,Wallace's Fruit-Dove - Ptilinopus wallacii,wafdov1
Myna,Paperbark Flycatcher - Myiagra nana,papfly1
Myna,Fiery-browed Myna - Enodes erythrophris,fibmyn1
Myna,Finch-billed Myna - Scissirostrum dubium,fibmyn2
Myna,Sulawesi Myna - Basilornis celebensis,sulmyn1
Myna,Helmeted Myna - Basilornis galeatus,helmyn1
Myna,Long-crested Myna - Basilornis corythaix,locmyn1
Myna,Apo Myna - Goodfellowia miranda,apomyn2
Myna,White-necked Myna - Streptocitta albicollis,whnmyn1
Myna,Bare-eyed Myna - Streptocitta albertinae,baemyn1
Myna,Yellow-faced Myna - Mino dumontii,yefmyn1
Myna,Golden Myna - Mino anais,golmyn1
Myna,Long-tailed Myna - Mino kreffti,lotmyn1
Myna,Golden-crested Myna - Ampeliceps coronatus,gocmyn1
Myna,Sri Lanka Myna - Gracula ptilogenys,ceymyn1
Myna,Common Hill Myna - Gracula religiosa,hilmyn
Myna,Tenggara Hill Myna - Gracula venerata,cohmyn2
Myna,Southern Hill Myna - Gracula indica,sohmyn1
Myna,Indian Pied Starling (Pied Myna) - Gracupica contra,aspsta2
Myna,Bali Myna - Leucopsar rothschildi,balmyn1
Myna,Common Myna - Acridotheres tristis,commyn
Myna,Bank Myna - Acridotheres ginginianus,banmyn1
Myna,Burmese Myna - Acridotheres burmannicus,vibsta1
Myna,Vinous-breasted Myna - Acridotheres leucocephalus,vibsta4
Myna,Black-winged Myna - Acridotheres melanopterus,bkwsta1
Myna,Jungle Myna - Acridotheres fuscus,junmyn1
Myna,Javan Myna - Acridotheres javanicus,whvmyn
Myna,Pale-bellied Myna - Acridotheres cinereus,pabmyn1
Myna,Collared Myna - Acridotheres albocinctus,colmyn1
Myna,Great Myna - Acridotheres grandis,whvmyn1
Myna,Crested Myna - Acridotheres cristatellus,cremyn
House Crow,House Crow - Corvus splendens,houcro1
Little Egret,Little Egret - Egretta garzetta,litegr
Intermediate Egret,Intermediate Egret (Medium Egret) - Ardea intermedia,integr1
Scaly-breasted Munia,Scaly-breasted Munia (Spotted Munia) - Lonchura punctulata,nutman
White-breasted waterhen,White-breasted Waterhen - Amaurornis phoenicurus,whbwat1
Red-whiskered Bulbul,Red-whiskered Bulbul - Pycnonotus jocosus,rewbul
Red-vented Bulbul,Red-vented Bulbul - Pycnonotus cafer,revbul
Black Drongo,Black Drongo - Dicrurus macrocercus,bladro1
Sunbird,Common Sunbird-Asity - Neodrepanis coruscans,sunasi1
Sunbird,Yellow-bellied Sunbird-Asity - Neodrepanis hypoxantha,yebasi1
Sunbird,Ruby-cheeked Sunbird - Chalcoparia singalensis,rucsun2
Sunbird,Fraser's Sunbird - Deleornis fraseri,sctsun2
Sunbird,Grey-headed Sunbird - Deleornis axillaris,gyhsun1
Sunbird,Plain-backed Sunbird - Anthreptes reichenowi,plbsun1
Sunbird,Anchieta's Sunbird - Anthreptes anchietae,ancsun1
Sunbird,Plain Sunbird - Anthreptes simplex,plasun1
Sunbird,Brown-throated Sunbird - Anthreptes malacensis,pltsun2
Sunbird,Grey-throated Sunbird - Anthreptes griseigularis,pltsun3
Sunbird,Red-throated Sunbird - Anthreptes rhodolaemus,retsun3
Sunbird,Mouse-brown Sunbird - Anthreptes gabonicus,mobsun1
Sunbird,Western Violet-backed Sunbird - Anthreptes longuemarei,wvbsun1
Sunbird,Eastern Violet-backed Sunbird - Anthreptes orientalis,kvbsun1
Sunbird,Uluguru Violet-backed Sunbird - Anthreptes neglectus,uvbsun1
Sunbird,Violet-tailed Sunbird - Anthreptes aurantius,vitsun1
Sunbird,Little Green Sunbird - Anthreptes seimundi,ligsun2
Sunbird,Green Sunbird - Anthreptes rectirostris,gresun1
Sunbird,Banded Sunbird - Anthreptes rubritorques,bansun1
Sunbird,Collared Sunbird - Hedydipna collaris,colsun2
Sunbird,Pygmy Sunbird - Hedydipna platura,pygsun2
Sunbird,Nile Valley Sunbird - Hedydipna metallica,nivsun2
Sunbird,Amani Sunbird - Hedydipna pallidigaster,amasun2
Sunbird,Reichenbach's Sunbird - Anabathmis reichenbachii,reisun2
Sunbird,Principe Sunbird - Anabathmis hartlaubii,prisun2
Sunbird,Newton's Sunbird - Anabathmis newtonii,newsun2
Sunbird,Sao Tome Sunbird - Dreptes thomensis,satsun1
Sunbird,Orange-breasted Sunbird - Anthobaphes violacea,orbsun2
Sunbird,Green-headed Sunbird - Cyanomitra verticalis,gnhsun1
Sunbird,Bannerman's Sunbird - Cyanomitra bannermani,bansun3
Sunbird,Blue-throated Brown Sunbird - Cyanomitra cyanolaema,btbsun2
Sunbird,Cameroon Sunbird - Cyanomitra oritis,camsun2
Sunbird,Blue-headed Sunbird - Cyanomitra alinae,buhsun1
Sunbird,Olive Sunbird - Cyanomitra olivacea,eaosun1
Sunbird,Mouse-colored Sunbird - Cyanomitra veroxii,mocsun2
Sunbird,Buff-throated Sunbird - Chalcomitra adelberti,butsun2
Sunbird,Carmelite Sunbird - Chalcomitra fuliginosa,carsun2
Sunbird,Green-throated Sunbird - Chalcomitra rubescens,gntsun1
Sunbird,Amethyst Sunbird - Chalcomitra amethystina,amesun2
Sunbird,Scarlet-chested Sunbird - Chalcomitra senegalensis,sccsun2
Sunbird,Hunter's Sunbird - Chalcomitra hunteri,hunsun2
Sunbird,Socotra Sunbird - Chalcomitra balfouri,socsun2
Sunbird,Purple-rumped Sunbird - Leptocoma zeylonica,pursun3
Sunbird,Crimson-backed Sunbird (Small Sunbird) - Leptocoma minima,crbsun2
Sunbird,Van Hasselt's Sunbird (Purple-throated Sunbird) - Leptocoma brasiliana,vahsun1
Sunbird,Philippine Purple-throated Sunbird - Leptocoma sperata,putsun3
Sunbird,Black Sunbird - Leptocoma aspasia,blksun1
Sunbird,Copper-throated Sunbird - Leptocoma calcostetha,cotsun2
Sunbird,Bocage's Sunbird - Nectarinia bocagii,bocsun2
Sunbird,Purple-breasted Sunbird - Nectarinia purpureiventris,pubsun3
Sunbird,Tacazze Sunbird - Nectarinia tacazze,tacsun1
Sunbird,Bronze Sunbird - Nectarinia kilimensis,brosun1
Sunbird,Malachite Sunbird - Nectarinia famosa,malsun1
Sunbird,Red-tufted Sunbird - Nectarinia johnstoni,retsun2
Sunbird,Golden-winged Sunbird - Drepanorhynchus reichenowi,gowsun2
Sunbird,Olive-bellied Sunbird - Cinnyris chloropygius,olbsun3
Sunbird,Tiny Sunbird - Cinnyris minullus,tinsun2
Sunbird,Western Miombo Sunbird - Cinnyris gertrudis,miosun2
Sunbird,Eastern Miombo Sunbird - Cinnyris manoensis,miosun3
Sunbird,Southern Double-collared Sunbird - Cinnyris chalybeus,sdcsun3
Sunbird,Neergaard's Sunbird - Cinnyris neergaardi,neesun2
Sunbird,Stuhlmann's Sunbird - Cinnyris stuhlmanni,stusun1
Sunbird,Prigogine's Sunbird - Cinnyris prigoginei,prisun3
Sunbird,Montane Double-collared Sunbird - Cinnyris ludovicensis,mdcsun3
Sunbird,Northern Double-collared Sunbird - Cinnyris reichenowi,ndcsun2
Sunbird,Greater Double-collared Sunbird - Cinnyris afer,gdcsun2
Sunbird,Regal Sunbird - Cinnyris regius,regsun2
Sunbird,Rockefeller's Sunbird - Cinnyris rockefelleri,rocsun2
Sunbird,Eastern Double-collared Sunbird - Cinnyris mediocris,edcsun3
Sunbird,Usambara Double-collared Sunbird - Cinnyris usambaricus,edcsun4
Sunbird,Forest Double-collared Sunbird - Cinnyris fuelleborni,edcsun1
Sunbird,Moreau's Sunbird - Cinnyris moreaui,morsun2
Sunbird,Loveridge's Sunbird - Cinnyris loveridgei,lovsun3
Sunbird,Beautiful Sunbird - Cinnyris pulchellus,beasun2
Sunbird,Marico Sunbird - Cinnyris mariquensis,marsun2
Sunbird,Shelley's Sunbird - Cinnyris shelleyi,shesun2
Sunbird,Congo Sunbird - Cinnyris congensis,consun2
Sunbird,Red-chested Sunbird - Cinnyris erythrocercus,recsun2
Sunbird,Black-bellied Sunbird - Cinnyris nectarinioides,bkbsun1
Sunbird,Purple-banded Sunbird - Cinnyris bifasciatus,pubsun4
Sunbird,Tsavo Sunbird - Cinnyris tsavoensis,tsasun1
Sunbird,Violet-breasted Sunbird - Cinnyris chalcomelas,vibsun2
Sunbird,Pemba Sunbird - Cinnyris pembae,pemsun2
Sunbird,Orange-tufted Sunbird - Cinnyris bouvieri,ortsun3
Sunbird,Palestine Sunbird - Cinnyris osea,palsun2
Sunbird,Shining Sunbird - Cinnyris habessinicus,shisun3
Sunbird,Splendid Sunbird - Cinnyris coccinigastrus,splsun2
Sunbird,Johanna's Sunbird - Cinnyris johannae,johsun2
Sunbird,Superb Sunbird - Cinnyris superbus,supsun2
Sunbird,Rufous-winged Sunbird - Cinnyris rufipennis,ruwsun2
Sunbird,Oustalet's Sunbird - Cinnyris oustaleti,oussun2
Sunbird,White-breasted Sunbird - Cinnyris talatala,whbsun2
Sunbird,Variable Sunbird - Cinnyris venustus,varsun2
Sunbird,Dusky Sunbird - Cinnyris fuscus,dussun2
Sunbird,Ursula's Sunbird - Cinnyris ursulae,urssun2
Sunbird,Bates's Sunbird - Cinnyris batesi,batsun2
Sunbird,Copper Sunbird - Cinnyris cupreus,copsun2
Sunbird,Purple Sunbird - Cinnyris asiaticus,pursun4
