Date,Time,Location,Weather,Name from Notes,Common Name,Seen/Heard,Count,Male/Female,Comments,Scientific Name,eBird URL
,,,,pied kingfisher,Pied Kingfisher,,,,,Ceryle rudis,"=HYPERLINK(""https://ebird.org/species/piekin1?siteLanguage=en_IN"", ""Pied Kingfisher"")"
,,,,White Headed Babbler,Yellow-billed Babbler,,,,,Argya affinis,"=HYPERLINK(""https://ebird.org/species/yebbab1?siteLanguage=en_IN"", ""Yellow-billed Babbler"")"
,,,,pied wagtail,White-browed Wagtail (Large Pied Wagtail),,,,,Motacilla maderaspatensis,"=HYPERLINK(""https://ebird.org/species/whbwag1?siteLanguage=en_IN"", ""White-browed Wagtail (Large Pied Wagtail)"")"
,,,,spotted owlet,Spotted Owlet,,,,,Athene brama,"=HYPERLINK(""https://ebird.org/species/spoowl1?siteLanguage=en_IN"", ""Spotted Owlet"")"
,,,,egret,Intermediate Egret (Medium Egret),,,,,Ardea intermedia,"=HYPERLINK(""https://ebird.org/species/integr1?siteLanguage=en_IN"", ""Intermediate Egret (Medium Egret)"")"
,,,,pied bushchat,Pied Bushchat,,,,,Saxicola caprata,"=HYPERLINK(""https://ebird.org/species/piebus1?siteLanguage=en_IN"", ""Pied Bushchat"")"
,,,,red rumped swallow,Red-rumped Swallow,,,,,Cecropis daurica,"=HYPERLINK(""https://ebird.org/species/rerswa1?siteLanguage=en_IN"", ""Red-rumped Swallow"")"
,,,,small blue kingfisher,Common Kingfisher (Small Blue Kingfisher),,,,,Alcedo atthis,"=HYPERLINK(""https://ebird.org/species/comkin1?siteLanguage=en_IN"", ""Common Kingfisher (Small Blue Kingfisher)"")"
,,,,paradise fly catcher,Indian Paradise-Flycatcher,,,,,Terpsiphone paradisi,"=HYPERLINK(""https://ebird.org/species/aspfly1?siteLanguage=en_IN"", ""Indian Paradise-Flycatcher"")"
,,,,mottled wood owl,Mottled Wood-Owl,,,,,Strix ocellata,"=HYPERLINK(""https://ebird.org/species/mowowl1?siteLanguage=en_IN"", ""Mottled Wood-Owl"")"
12 Sep 1998,,,Cloudy Sky,little green beeeater,Asian Green Bee-eater,,,,,Merops orientalis,"=HYPERLINK(""https://ebird.org/species/grnbee3?siteLanguage=en_IN"", ""Asian Green Bee-eater"")"
,,,,tree pie,Rufous Treepie,,,,,Dendrocitta vagabunda,"=HYPERLINK(""https://ebird.org/species/ruftre2?siteLanguage=en_IN"", ""Rufous Treepie"")"
,,,,bulbul,Red-vented Bulbul,,,,,Pycnonotus cafer,"=HYPERLINK(""https://ebird.org/species/revbul?siteLanguage=en_IN"", ""Red-vented Bulbul"")"
,,,,white browed bulbul,White-browed Bulbul,,,,,Pycnonotus luteolus,"=HYPERLINK(""https://ebird.org/species/whbbul2?siteLanguage=en_IN"", ""White-browed Bulbul"")"
,,,,wren warbler,,,,,,,
,,,,red vented bulbul,Red-vented Bulbul,,,,,Pycnonotus cafer,"=HYPERLINK(""https://ebird.org/species/revbul?siteLanguage=en_IN"", ""Red-vented Bulbul"")"
,,,,koel,Asian Koel,,,F,,Eudynamys scolopaceus,"=HYPERLINK(""https://ebird.org/species/asikoe2?siteLanguage=en_IN"", ""Asian Koel"")"
,,,,Indian Robin,Indian Robin,,,F,,Copsychus fulicatus,"=HYPERLINK(""https://ebird.org/species/indrob1?siteLanguage=en_IN"", ""Indian Robin"")"
,,,,White Headed Babbler,Yellow-billed Babbler,,,,,Argya affinis,"=HYPERLINK(""https://ebird.org/species/yebbab1?siteLanguage=en_IN"", ""Yellow-billed Babbler"")"
,,,,purple rumped sunbird,Purple-rumped Sunbird,,,,,Leptocoma zeylonica,"=HYPERLINK(""https://ebird.org/species/pursun3?siteLanguage=en_IN"", ""Purple-rumped Sunbird"")"
,,,,spotted dove,Spotted Dove,,,,,Spilopelia chinensis,"=HYPERLINK(""https://ebird.org/species/spodov?siteLanguage=en_IN"", ""Spotted Dove"")"
19 Sep 1998,,,,Grey drongo,Ashy Drongo,,,,,Dicrurus leucophaeus,"=HYPERLINK(""https://ebird.org/species/ashdro1?siteLanguage=en_IN"", ""Ashy Drongo"")"
,,,,golden oriole,Indian Golden Oriole,,,,,Oriolus kundoo,"=HYPERLINK(""https://ebird.org/species/ingori1?siteLanguage=en_IN"", ""Indian Golden Oriole"")"
,,,,freenish leaf warbler,Greenish Warbler,,,,,Phylloscopus trochiloides,"=HYPERLINK(""https://ebird.org/species/grewar3?siteLanguage=en_IN"", ""Greenish Warbler"")"
,,,,kestral,Eurasian Kestrel (Common Kestrel),,,,,Falco tinnunculus,"=HYPERLINK(""https://ebird.org/species/eurkes?siteLanguage=en_IN"", ""Eurasian Kestrel (Common Kestrel)"")"
,,,,black drongo,Black Drongo,,,,,Dicrurus macrocercus,"=HYPERLINK(""https://ebird.org/species/bladro1?siteLanguage=en_IN"", ""Black Drongo"")"
,,,,red vented bulbul,Red-vented Bulbul,,,,,Pycnonotus cafer,"=HYPERLINK(""https://ebird.org/species/revbul?siteLanguage=en_IN"", ""Red-vented Bulbul"")"
,,,,short toed eagle,Short-toed Snake-Eagle,,,,,Circaetus gallicus,"=HYPERLINK(""https://ebird.org/species/shteag1?siteLanguage=en_IN"", ""Short-toed Snake-Eagle"")"
,,,,little green beeeater,Asian Green Bee-eater,,,,,Merops orientalis,"=HYPERLINK(""https://ebird.org/species/grnbee3?siteLanguage=en_IN"", ""Asian Green Bee-eater"")"
,,,,house swift,Little Swift (Indian House Swift),,,,,Apus affinis,"=HYPERLINK(""https://ebird.org/species/litswi1?siteLanguage=en_IN"", ""Little Swift (Indian House Swift)"")"
,,,,dusky craig martin,Dusky Crag-Martin,,,,,Ptyonoprogne concolor,"=HYPERLINK(""https://ebird.org/species/duscrm1?siteLanguage=en_IN"", ""Dusky Crag-Martin"")"
,,,,plain prinia,Plain Prinia,,,,wren warbler,Prinia inornata,"=HYPERLINK(""https://ebird.org/species/plapri1?siteLanguage=en_IN"", ""Plain Prinia"")"
,,,,Indian Robin,Indian Robin,,,,,Copsychus fulicatus,"=HYPERLINK(""https://ebird.org/species/indrob1?siteLanguage=en_IN"", ""Indian Robin"")"
,,,,Wood shrike,Common Woodshrike,,,,,Tephrodornis pondicerianus,"=HYPERLINK(""https://ebird.org/species/comwoo1?siteLanguage=en_IN"", ""Common Woodshrike"")"
,,,,Pariah kite,Black Kite,,,,,Milvus migrans,"=HYPERLINK(""https://ebird.org/species/blakit1?siteLanguage=en_IN"", ""Black Kite"")"
,,,,Koel,Asian Koel,heard,,,,Eudynamys scolopaceus,"=HYPERLINK(""https://ebird.org/species/asikoe2?siteLanguage=en_IN"", ""Asian Koel"")"
,,,,common myna,Common Myna,,,,,Acridotheres tristis,"=HYPERLINK(""https://ebird.org/species/commyn?siteLanguage=en_IN"", ""Common Myna"")"
,,,,Rose Ringed Parakeet,Rose-ringed Parakeet,,,,,Psittacula krameri,"=HYPERLINK(""https://ebird.org/species/rorpar?siteLanguage=en_IN"", ""Rose-ringed Parakeet"")"
,,,,white breasted kingfisher,White-throated Kingfisher,,,,,Halcyon smyrnensis,"=HYPERLINK(""https://ebird.org/species/whtkin2?siteLanguage=en_IN"", ""White-throated Kingfisher"")"
,,,,shikra,Shikra,,,,,Accipiter badius,"=HYPERLINK(""https://ebird.org/species/shikra1?siteLanguage=en_IN"", ""Shikra"")"
,,,,pond  heron,Indian Pond-Heron,,,,,Ardeola grayii,"=HYPERLINK(""https://ebird.org/species/inpher1?siteLanguage=en_IN"", ""Indian Pond-Heron"")"
,,,,roufous tailed finch warbler,Rufous-tailed Lark,,,,,Ammomanes phoenicura,"=HYPERLINK(""https://ebird.org/species/rutlar2?siteLanguage=en_IN"", ""Rufous-tailed Lark"")"
,,,,red rumped swallow,Red-rumped Swallow,,,,,Cecropis daurica,"=HYPERLINK(""https://ebird.org/species/rerswa1?siteLanguage=en_IN"", ""Red-rumped Swallow"")"
,,,,steppe eagle ?,Steppe Eagle,,,,,Aquila nipalensis,"=HYPERLINK(""https://ebird.org/species/steeag1?siteLanguage=en_IN"", ""Steppe Eagle"")"
,,,,swift,Asian Palm Swift,,,,,Cypsiurus balasiensis,"=HYPERLINK(""https://ebird.org/species/aspswi1?siteLanguage=en_IN"", ""Asian Palm Swift"")"
,,,,pied bushchat,Pied Bushchat,,,,,Saxicola caprata,"=HYPERLINK(""https://ebird.org/species/piebus1?siteLanguage=en_IN"", ""Pied Bushchat"")"
,,,,purple sunbird,Purple-rumped Sunbird,,,,,Leptocoma zeylonica,"=HYPERLINK(""https://ebird.org/species/pursun3?siteLanguage=en_IN"", ""Purple-rumped Sunbird"")"
,,,,shahin falcon,Peregrine Falcon (Shaheen),,,,Red underparts,Falco peregrinus peregrinator,
,,,,briown shrike,Brown Shrike,,,,,Lanius cristatus,"=HYPERLINK(""https://ebird.org/species/brnshr?siteLanguage=en_IN"", ""Brown Shrike"")"
,,,,black winged klite,Black-winged Kite (Black-shouldered Kite),,,,,Elanus caeruleus,"=HYPERLINK(""https://ebird.org/species/bkskit1?siteLanguage=en_IN"", ""Black-winged Kite (Black-shouldered Kite)"")"
21 Feb 1999,8:30 am – 12:00 pm,Sumavanam,Cloudy Sky,Twany eagle,Tawny Eagle,,,,,Aquila rapax,"=HYPERLINK(""https://ebird.org/species/taweag1?siteLanguage=en_IN"", ""Tawny Eagle"")"
,,,,Bee eater,Asian Green Bee-eater,,,,,Merops orientalis,"=HYPERLINK(""https://ebird.org/species/grnbee3?siteLanguage=en_IN"", ""Asian Green Bee-eater"")"
,,,,Indian Robin,Indian Robin,,,,,Copsychus fulicatus,"=HYPERLINK(""https://ebird.org/species/indrob1?siteLanguage=en_IN"", ""Indian Robin"")"
,,,,Common myna,Common Myna,,,,,Acridotheres tristis,"=HYPERLINK(""https://ebird.org/species/commyn?siteLanguage=en_IN"", ""Common Myna"")"
,,,,tree pie,Rufous Treepie,,,,,Dendrocitta vagabunda,"=HYPERLINK(""https://ebird.org/species/ruftre2?siteLanguage=en_IN"", ""Rufous Treepie"")"
,,,,black drongo,Black Drongo,,,,,Dicrurus macrocercus,"=HYPERLINK(""https://ebird.org/species/bladro1?siteLanguage=en_IN"", ""Black Drongo"")"
,,,,taylor bird,Common Tailorbird,,,,,Orthotomus sutorius,"=HYPERLINK(""https://ebird.org/species/comtai1?siteLanguage=en_IN"", ""Common Tailorbird"")"
,,,,grey drongo,Ashy Drongo,,,,,Dicrurus leucophaeus,"=HYPERLINK(""https://ebird.org/species/ashdro1?siteLanguage=en_IN"", ""Ashy Drongo"")"
,,,,booted eagle,Booted Eagle,,,,,Hieraaetus pennatus,"=HYPERLINK(""https://ebird.org/species/booeag1?siteLanguage=en_IN"", ""Booted Eagle"")"
,,,,purple sunbird,Purple-rumped Sunbird,,,,,Leptocoma zeylonica,"=HYPERLINK(""https://ebird.org/species/pursun3?siteLanguage=en_IN"", ""Purple-rumped Sunbird"")"
,,,,roufous tailed finch lark,Rufous-tailed Lark,,,,,Ammomanes phoenicura,"=HYPERLINK(""https://ebird.org/species/rutlar2?siteLanguage=en_IN"", ""Rufous-tailed Lark"")"
,,,,red whiskered bulbul,Red-whiskered Bulbul,,,,,Pycnonotus jocosus,"=HYPERLINK(""https://ebird.org/species/rewbul?siteLanguage=en_IN"", ""Red-whiskered Bulbul"")"
,,,,red vented bulbul,Red-vented Bulbul,,,,,Pycnonotus cafer,"=HYPERLINK(""https://ebird.org/species/revbul?siteLanguage=en_IN"", ""Red-vented Bulbul"")"
,,,,pariah kite,Black Kite,,,,,Milvus migrans,"=HYPERLINK(""https://ebird.org/species/blakit1?siteLanguage=en_IN"", ""Black Kite"")"
,,,,White Headed Babbler,Yellow-billed Babbler,,,,,Argya affinis,"=HYPERLINK(""https://ebird.org/species/yebbab1?siteLanguage=en_IN"", ""Yellow-billed Babbler"")"
,,,,Roufous winged bush lark,,,,,,,
,,,,black bellied finch lark,Black-crowned Sparrow-Lark,,,,,Eremopterix nigriceps,"=HYPERLINK(""https://ebird.org/species/bcslar1?siteLanguage=en_IN"", ""Black-crowned Sparrow-Lark"")"
,,,,large pied wagtail,White-browed Wagtail (Large Pied Wagtail),,,,,Motacilla maderaspatensis,"=HYPERLINK(""https://ebird.org/species/whbwag1?siteLanguage=en_IN"", ""White-browed Wagtail (Large Pied Wagtail)"")"
,,,,little egret,Little Egret,,,,,Egretta garzetta,"=HYPERLINK(""https://ebird.org/species/litegr?siteLanguage=en_IN"", ""Little Egret"")"
,,,,common swallow,Red-rumped Swallow,,,,,Cecropis daurica,"=HYPERLINK(""https://ebird.org/species/rerswa1?siteLanguage=en_IN"", ""Red-rumped Swallow"")"
,,,,pond heron,Indian Pond-Heron,,,,,Ardeola grayii,"=HYPERLINK(""https://ebird.org/species/inpher1?siteLanguage=en_IN"", ""Indian Pond-Heron"")"
,,,,spotted diove,Spotted Dove,,,,,Spilopelia chinensis,"=HYPERLINK(""https://ebird.org/species/spodov?siteLanguage=en_IN"", ""Spotted Dove"")"
,,,,pied bush chat,Pied Bushchat,,,,,Saxicola caprata,"=HYPERLINK(""https://ebird.org/species/piebus1?siteLanguage=en_IN"", ""Pied Bushchat"")"
,,,,little brown dove,Laughing Dove (Little Brown Dove),,,,,Spilopelia senegalensis,"=HYPERLINK(""https://ebird.org/species/laudov1?siteLanguage=en_IN"", ""Laughing Dove (Little Brown Dove)"")"
,,,,blue rock pigeon,Rock Pigeon (Blue Rock Pigeon),,,,,Columba livia,"=HYPERLINK(""https://ebird.org/species/rocpig?siteLanguage=en_IN"", ""Rock Pigeon (Blue Rock Pigeon)"")"
,,,,ashy crowned finch lark,Ashy-crowned Sparrow-Lark (Ashy-crowned Finch-Lark),,,,,Eremopterix griseus,"=HYPERLINK(""https://ebird.org/species/ascspl1?siteLanguage=en_IN"", ""Ashy-crowned Sparrow-Lark (Ashy-crowned Finch-Lark)"")"
,,,,red rumped swallow,Red-rumped Swallow,,,,,Cecropis daurica,"=HYPERLINK(""https://ebird.org/species/rerswa1?siteLanguage=en_IN"", ""Red-rumped Swallow"")"
,,,,purple rumped sunbird,Purple-rumped Sunbird,,,,,Leptocoma zeylonica,"=HYPERLINK(""https://ebird.org/species/pursun3?siteLanguage=en_IN"", ""Purple-rumped Sunbird"")"
,,,,blights reed warbler,Blyth's Reed Warbler,,,,,Acrocephalus dumetorum,"=HYPERLINK(""https://ebird.org/species/blrwar1?siteLanguage=en_IN"", ""Blyth's Reed Warbler"")"
,,,,Rose Ringed Parakeet,Rose-ringed Parakeet,,,,,Psittacula krameri,"=HYPERLINK(""https://ebird.org/species/rorpar?siteLanguage=en_IN"", ""Rose-ringed Parakeet"")"
,,,,common swallow,Red-rumped Swallow,,,,,Cecropis daurica,"=HYPERLINK(""https://ebird.org/species/rerswa1?siteLanguage=en_IN"", ""Red-rumped Swallow"")"
,,,,Iora,Common Iora,,,,,Aegithina tiphia,"=HYPERLINK(""https://ebird.org/species/comior1?siteLanguage=en_IN"", ""Common Iora"")"
,,,,Golden oriole,Indian Golden Oriole,,,,,Oriolus kundoo,"=HYPERLINK(""https://ebird.org/species/ingori1?siteLanguage=en_IN"", ""Indian Golden Oriole"")"
,,,,greenish leaf warbler,Greenish Warbler,,,,,Phylloscopus trochiloides,"=HYPERLINK(""https://ebird.org/species/grewar3?siteLanguage=en_IN"", ""Greenish Warbler"")"
,,,,house sparrow,House Sparrow,,,,,Passer domesticus,"=HYPERLINK(""https://ebird.org/species/houspa?siteLanguage=en_IN"", ""House Sparrow"")"
27 Mar 1999,,,Slightly Cloudy Sky,red whiskered bulbul,Red-whiskered Bulbul,,,,,Pycnonotus jocosus,"=HYPERLINK(""https://ebird.org/species/rewbul?siteLanguage=en_IN"", ""Red-whiskered Bulbul"")"
,,,,White Headed Babbler,Yellow-billed Babbler,,,,,Argya affinis,"=HYPERLINK(""https://ebird.org/species/yebbab1?siteLanguage=en_IN"", ""Yellow-billed Babbler"")"
,,,,Rose Ringed Parakeet,Rose-ringed Parakeet,,,,,Psittacula krameri,"=HYPERLINK(""https://ebird.org/species/rorpar?siteLanguage=en_IN"", ""Rose-ringed Parakeet"")"
,,,,purple rumped sunbird,Purple-rumped Sunbird,,,,Bottle brish in bloom,Leptocoma zeylonica,"=HYPERLINK(""https://ebird.org/species/pursun3?siteLanguage=en_IN"", ""Purple-rumped Sunbird"")"
,,,,Golden oriole,Indian Golden Oriole,,,F,,Oriolus kundoo,"=HYPERLINK(""https://ebird.org/species/ingori1?siteLanguage=en_IN"", ""Indian Golden Oriole"")"
,,,,coppersmith,Coppersmith Barbet,,,,,Psilopogon haemacephalus,"=HYPERLINK(""https://ebird.org/species/copbar1?siteLanguage=en_IN"", ""Coppersmith Barbet"")"
,,,,Iora,Common Iora,,,,,Aegithina tiphia,"=HYPERLINK(""https://ebird.org/species/comior1?siteLanguage=en_IN"", ""Common Iora"")"
,,,,red whiskered bulbul,Red-whiskered Bulbul,,,,,Pycnonotus jocosus,"=HYPERLINK(""https://ebird.org/species/rewbul?siteLanguage=en_IN"", ""Red-whiskered Bulbul"")"
,,,,Flower pecker,Pale-billed Flowerpecker,heard,,,,Dicaeum erythrorhynchos,"=HYPERLINK(""https://ebird.org/species/pabflo1?siteLanguage=en_IN"", ""Pale-billed Flowerpecker"")"
,,,,Koel,Asian Koel,,,F,,Eudynamys scolopaceus,"=HYPERLINK(""https://ebird.org/species/asikoe2?siteLanguage=en_IN"", ""Asian Koel"")"
,,,,grey drongo,Ashy Drongo,heard,,,,Dicrurus leucophaeus,"=HYPERLINK(""https://ebird.org/species/ashdro1?siteLanguage=en_IN"", ""Ashy Drongo"")"
,,,,short toed eagle,Short-toed Snake-Eagle,,,,,Circaetus gallicus,"=HYPERLINK(""https://ebird.org/species/shteag1?siteLanguage=en_IN"", ""Short-toed Snake-Eagle"")"
,,,,myna,Common Myna,,,,,Acridotheres tristis,"=HYPERLINK(""https://ebird.org/species/commyn?siteLanguage=en_IN"", ""Common Myna"")"
,,,,spotted dove,Spotted Dove,,,,,Spilopelia chinensis,"=HYPERLINK(""https://ebird.org/species/spodov?siteLanguage=en_IN"", ""Spotted Dove"")"
,,,,little green beeeater,Asian Green Bee-eater,,,,,Merops orientalis,"=HYPERLINK(""https://ebird.org/species/grnbee3?siteLanguage=en_IN"", ""Asian Green Bee-eater"")"
,,,,large pied wagtail,White-browed Wagtail (Large Pied Wagtail),,,,,Motacilla maderaspatensis,"=HYPERLINK(""https://ebird.org/species/whbwag1?siteLanguage=en_IN"", ""White-browed Wagtail (Large Pied Wagtail)"")"
,,,,white breasted kingfisher,White-throated Kingfisher,,,,,Halcyon smyrnensis,"=HYPERLINK(""https://ebird.org/species/whtkin2?siteLanguage=en_IN"", ""White-throated Kingfisher"")"
,,,,Ashy wren warbler,Ashy Prinia,,,,,Prinia socialis,"=HYPERLINK(""https://ebird.org/species/ashpri1?siteLanguage=en_IN"", ""Ashy Prinia"")"
,,,,tailor bird,Common Tailorbird,,,,,Orthotomus sutorius,"=HYPERLINK(""https://ebird.org/species/comtai1?siteLanguage=en_IN"", ""Common Tailorbird"")"
,,,,white browed bulbul,White-browed Bulbul,,,,,Pycnonotus luteolus,"=HYPERLINK(""https://ebird.org/species/whbbul2?siteLanguage=en_IN"", ""White-browed Bulbul"")"
,,,,black drongo,Black Drongo,,,,,Dicrurus macrocercus,"=HYPERLINK(""https://ebird.org/species/bladro1?siteLanguage=en_IN"", ""Black Drongo"")"
,,,,pond heron,Indian Pond-Heron,,,,,Ardeola grayii,"=HYPERLINK(""https://ebird.org/species/inpher1?siteLanguage=en_IN"", ""Indian Pond-Heron"")"
,,,,red rumped swallow,Red-rumped Swallow,,,,,Cecropis daurica,"=HYPERLINK(""https://ebird.org/species/rerswa1?siteLanguage=en_IN"", ""Red-rumped Swallow"")"
,,,,coucal,Greater Coucal,,,,,Centropus sinensis,"=HYPERLINK(""https://ebird.org/species/grecou1?siteLanguage=en_IN"", ""Greater Coucal"")"
,,,,large cuckoo shrike,Large Cuckooshrike,,,,,Coracina macei,"=HYPERLINK(""https://ebird.org/species/larcus1?siteLanguage=en_IN"", ""Large Cuckooshrike"")"
,,,,white breasted water hen,White-breasted Waterhen,,,,,Amaurornis phoenicurus,"=HYPERLINK(""https://ebird.org/species/whbwat1?siteLanguage=en_IN"", ""White-breasted Waterhen"")"
,,,,egret,Intermediate Egret (Medium Egret),,,,,Ardea intermedia,"=HYPERLINK(""https://ebird.org/species/integr1?siteLanguage=en_IN"", ""Intermediate Egret (Medium Egret)"")"
,,,,dabchick,Little Grebe,,,,,Tachybaptus ruficollis,"=HYPERLINK(""https://ebird.org/species/litgre1?siteLanguage=en_IN"", ""Little Grebe"")"
,,,,swift,Asian Palm Swift,,,,,Cypsiurus balasiensis,"=HYPERLINK(""https://ebird.org/species/aspswi1?siteLanguage=en_IN"", ""Asian Palm Swift"")"
,,,,Indian Robin,Indian Robin,,,,,Copsychus fulicatus,"=HYPERLINK(""https://ebird.org/species/indrob1?siteLanguage=en_IN"", ""Indian Robin"")"
,,,,Hoopoe,Eurasian Hoopoe,,,,,Upupa epops,"=HYPERLINK(""https://ebird.org/species/hoopoe?siteLanguage=en_IN"", ""Eurasian Hoopoe"")"
,,,,Cattle egret,Eastern Cattle Egret,,,,,Bubulcus coromandus,"=HYPERLINK(""https://ebird.org/species/categr2?siteLanguage=en_IN"", ""Eastern Cattle Egret"")"
,,,,Blyths reed warbler,Blyth's Reed Warbler,,,,,Acrocephalus dumetorum,"=HYPERLINK(""https://ebird.org/species/blrwar1?siteLanguage=en_IN"", ""Blyth's Reed Warbler"")"
,,,,pariah kite,Black Kite,,,,,Milvus migrans,"=HYPERLINK(""https://ebird.org/species/blakit1?siteLanguage=en_IN"", ""Black Kite"")"
,,,,cormorant,Little Cormorant,,,,,Microcarbo niger,"=HYPERLINK(""https://ebird.org/species/litcor1?siteLanguage=en_IN"", ""Little Cormorant"")"
,,,,pied kingfisher,Pied Kingfisher,,,,,Ceryle rudis,"=HYPERLINK(""https://ebird.org/species/piekin1?siteLanguage=en_IN"", ""Pied Kingfisher"")"
,,,,Indian Pitta,Indian Pitta,,,,,Pitta brachyura,"=HYPERLINK(""https://ebird.org/species/indpit1?siteLanguage=en_IN"", ""Indian Pitta"")"
,,,,Collored Scops owl?,Indian Scops-Owl (Collared Scops-Owl),,,,,Otus bakkamoena,"=HYPERLINK(""https://ebird.org/species/insowl1?siteLanguage=en_IN"", ""Indian Scops-Owl (Collared Scops-Owl)"")"
26 Jun 1999,,,Cloudy Sky,House swift,Little Swift (Indian House Swift),,,,,Apus affinis,"=HYPERLINK(""https://ebird.org/species/litswi1?siteLanguage=en_IN"", ""Little Swift (Indian House Swift)"")"
,,,,red vented bulbul,Red-vented Bulbul,,,,,Pycnonotus cafer,"=HYPERLINK(""https://ebird.org/species/revbul?siteLanguage=en_IN"", ""Red-vented Bulbul"")"
,,,,Indian robin,Indian Robin,,,,,Copsychus fulicatus,"=HYPERLINK(""https://ebird.org/species/indrob1?siteLanguage=en_IN"", ""Indian Robin"")"
,,,,pariah kite,Black Kite,,,,,Milvus migrans,"=HYPERLINK(""https://ebird.org/species/blakit1?siteLanguage=en_IN"", ""Black Kite"")"
,,,,Rose Ringed Parakeet,Rose-ringed Parakeet,,,,,Psittacula krameri,"=HYPERLINK(""https://ebird.org/species/rorpar?siteLanguage=en_IN"", ""Rose-ringed Parakeet"")"
,,,,sirkeer cuckoo,Sirkeer Malkoha,,,,,Taccocua leschenaultii,"=HYPERLINK(""https://ebird.org/species/sirmal1?siteLanguage=en_IN"", ""Sirkeer Malkoha"")"
,,,,white bellied fishing eagle,White-bellied Sea-Eagle,,,,,Icthyophaga leucogaster,"=HYPERLINK(""https://ebird.org/species/wbseag1?siteLanguage=en_IN"", ""White-bellied Sea-Eagle"")"
03 Jul 1999,,,,Dabchick,Little Grebe,,,,,Tachybaptus ruficollis,"=HYPERLINK(""https://ebird.org/species/litgre1?siteLanguage=en_IN"", ""Little Grebe"")"
,,,,small blue kingfisher,Common Kingfisher (Small Blue Kingfisher),,,,,Alcedo atthis,"=HYPERLINK(""https://ebird.org/species/comkin1?siteLanguage=en_IN"", ""Common Kingfisher (Small Blue Kingfisher)"")"
,,,,egret,Intermediate Egret (Medium Egret),,,,,Ardea intermedia,"=HYPERLINK(""https://ebird.org/species/integr1?siteLanguage=en_IN"", ""Intermediate Egret (Medium Egret)"")"
,,,,pond heron,Indian Pond-Heron,,,,,Ardeola grayii,"=HYPERLINK(""https://ebird.org/species/inpher1?siteLanguage=en_IN"", ""Indian Pond-Heron"")"
,,,,black drongo,Black Drongo,,,,,Dicrurus macrocercus,"=HYPERLINK(""https://ebird.org/species/bladro1?siteLanguage=en_IN"", ""Black Drongo"")"
,,,,red wattled lapwing,Red-wattled Lapwing,,,,,Vanellus indicus,"=HYPERLINK(""https://ebird.org/species/rewlap1?siteLanguage=en_IN"", ""Red-wattled Lapwing"")"
,,,,coucal,Greater Coucal,,,,,Centropus sinensis,"=HYPERLINK(""https://ebird.org/species/grecou1?siteLanguage=en_IN"", ""Greater Coucal"")"
,,,,Myna,Common Myna,,,,,Acridotheres tristis,"=HYPERLINK(""https://ebird.org/species/commyn?siteLanguage=en_IN"", ""Common Myna"")"
,,,,blue rock pigeon,Rock Pigeon (Blue Rock Pigeon),,,,,Columba livia,"=HYPERLINK(""https://ebird.org/species/rocpig?siteLanguage=en_IN"", ""Rock Pigeon (Blue Rock Pigeon)"")"
,,,,pied wagtail,White-browed Wagtail (Large Pied Wagtail),,,,,Motacilla maderaspatensis,"=HYPERLINK(""https://ebird.org/species/whbwag1?siteLanguage=en_IN"", ""White-browed Wagtail (Large Pied Wagtail)"")"
,,,,pariah kite,Black Kite,,,,,Milvus migrans,"=HYPERLINK(""https://ebird.org/species/blakit1?siteLanguage=en_IN"", ""Black Kite"")"
17 Jul 1999,,Mouth of the valley,Cloudy Sky,white breasted kingfisher,White-throated Kingfisher,,,,,Halcyon smyrnensis,"=HYPERLINK(""https://ebird.org/species/whtkin2?siteLanguage=en_IN"", ""White-throated Kingfisher"")"
,,,,black drongo,Black Drongo,,,,,Dicrurus macrocercus,"=HYPERLINK(""https://ebird.org/species/bladro1?siteLanguage=en_IN"", ""Black Drongo"")"
,,,,Shahin falcon,Peregrine Falcon (Shaheen),,,,,Falco peregrinus peregrinator,
,,,,short toed eagle,Short-toed Snake-Eagle,,,,,Circaetus gallicus,"=HYPERLINK(""https://ebird.org/species/shteag1?siteLanguage=en_IN"", ""Short-toed Snake-Eagle"")"
,,,,pariah kite,Black Kite,,,,,Milvus migrans,"=HYPERLINK(""https://ebird.org/species/blakit1?siteLanguage=en_IN"", ""Black Kite"")"
,,,,Alpine swift,Alpine Swift,,,,,Tachymarptis melba,"=HYPERLINK(""https://ebird.org/species/alpswi1?siteLanguage=en_IN"", ""Alpine Swift"")"
,,,,pond heron,Indian Pond-Heron,,,,,Ardeola grayii,"=HYPERLINK(""https://ebird.org/species/inpher1?siteLanguage=en_IN"", ""Indian Pond-Heron"")"
,,,,large pied wagtail,White-browed Wagtail (Large Pied Wagtail),,,,,Motacilla maderaspatensis,"=HYPERLINK(""https://ebird.org/species/whbwag1?siteLanguage=en_IN"", ""White-browed Wagtail (Large Pied Wagtail)"")"
,,,,Scavenger vulture,Egyptian Vulture,,,,,Neophron percnopterus,"=HYPERLINK(""https://ebird.org/species/egyvul1?siteLanguage=en_IN"", ""Egyptian Vulture"")"
,,,,Twany eagle,Tawny Eagle,,,,,Aquila rapax,"=HYPERLINK(""https://ebird.org/species/taweag1?siteLanguage=en_IN"", ""Tawny Eagle"")"
,,,,red rumped swallow,Red-rumped Swallow,,,,,Cecropis daurica,"=HYPERLINK(""https://ebird.org/species/rerswa1?siteLanguage=en_IN"", ""Red-rumped Swallow"")"
