Date,Time,Location,Weather,Bird Species,Notes,Count,Sex,Comments,corrected_name,name,id
,,,,egret,,,,,egret,Intermediate Egret (Medium Egret) - Ardea intermedia,integr1
,,,,cattle egret,,,,,Cattle Egret,Eastern Cattle Egret - Bubulcus coromandus,categr2
,,,,dabchick,,,,,dabchick,Little Grebe - Tachybaptus ruficollis,litgre1
,,,,red vented bulbul,,,,,Red-vented Bulbul,Red-vented Bulbul - Pycnonotus cafer,revbul
,,,,pied bushchat,,,,,Pied Bushchat,Pied Bushchat - Saxicola caprata,piebus1
,,,,Warbler?,,,,,Warbler,Blyth's Reed Warbler - Acrocephalus dumetorum,blrwar1
,,,,drongo,,,,,drongo,Hair-crested Drongo (Spangled Drongo) - Dicrurus hottentottus,hacdro1
,,,,common swallow,,,,,Common Swallow,Red-rumped Swallow - Cecropis daurica,rerswa1
,,,,white breasted kingfisher,,,,,White-breasted Kingfisher,White-throated Kingfisher - Halcyon smyrnensis,whtkin2
,,,,plaintive cuckoo,,,,,Plaintive Cuckoo,Plaintive Cuckoo - Cacomantis merulinus,placuc1
,,,,mottled wood owl,,,,,Mottled Wood Owl,Mottled Wood-Owl - Strix ocellata,mowowl1
,8:00 am – 10:00 am,"Obulnayan Cheruvu (Irrigation canal)
Papanayan Cheruvu",Cloudy Sky,white breasted kingfisher,,2,,,White-breasted Kingfisher,White-throated Kingfisher - Halcyon smyrnensis,whtkin2
,,,,medium egret,,1,,,Medium Egret,Intermediate Egret (Medium Egret) - Ardea intermedia,integr1
,,,,little egret,,32+1+27+1,,,Little Egret,Little Egret - Egretta garzetta,litegr
,,,,BW stilts,,2,,,BW Stilts,,
,,,,singing bush lark,,2,,,Singing Bush Lark,Singing Bushlark - Mirafra javanica,sinbus6
,,,,Cormorant,,2+4+2+3,,,Cormorant,Little Cormorant - Microcarbo niger,litcor1
,,,,wagtails,,3,,,Wagtails,White-browed Wagtail (Large Pied Wagtail) - Motacilla maderaspatensis,whbwag1
,,,,Munia,,6+1+13,,,Munia,Tricolored Munia (Black-headed Munia) - Lonchura malacca,trimun
,,,,Grey heron,,3+1,,,Grey Heron,Grey Heron - Ardea cinerea,graher1
,,,,Coot,,1+1+2,,,Coot,Eurasian Coot - Fulica atra,eurcoo
,,,,Brahminiy kite,,,,I juvenile,Brahminy Kite,Brahminy Kite - Haliastur indus,brakit1
,,,,pond heron,,,,,Pond Heron,Indian Pond-Heron - Ardeola grayii,inpher1
,,,,swallows,,5+1,,,Swallows,,
,,,,green bee eater,,,,,green bee-eater,Asian Green Bee-eater - Merops orientalis,grnbee3
,,,,pintail,,,,,Pintail,Northern Pintail - Anas acuta,norpin
,,,,Shoveller,,,,,Shoveler,Northern Shoveler - Spatula clypeata,norsho
,,,,marsh harrier,,,,,Marsh Harrier,Western Marsh Harrier - Circus aeruginosus,wemhar1
,,,,Red wattled Lapwing,,,,,Red-wattled Lapwing,Red-wattled Lapwing - Vanellus indicus,rewlap1
,,,,Stilt,,,,,Stilt,Black-winged Stilt - Himantopus himantopus,bkwsti
,,,,Spot bill,,,,,Spot-bill,Indian Spot-billed Duck - Anas poecilorhyncha,isbduc1
,,,,Large egret,,,,,Large Egret,Great Egret - Ardea alba,greegr
,,,,Grey Heron,,,,,Grey Heron,Grey Heron - Ardea cinerea,graher1
,,,,Cormorant,,109?,,,Cormorant,Little Cormorant - Microcarbo niger,litcor1
