Date,Time,Location,Weather,Bird Species,Notes,Count,Sex,Comments,corrected_name
,,,,egeret,,,,,egret
,,,,dabchick,,7+1+1,,,dabchick
,,,,Common bee eater,,,,,Common Bee Eater
,,,,Red wattled Lapwing,,,,,Red-wattled Lapwing
,,,,small blue kingfisher,,,,,Small Blue Kingfisher
,,,,Warbler,,,,,Warbler
,,,,white browed bulbul,,,,,White-browed Bulbul
,,,,pied kingfisher,,,,,Pied Kingfisher
,,,,blue rock pigeon,,,,,Blue Rock Pigeon
,,,,common myna,,,,,Common Myna
,,,,coucal,,,,,coucal
,,,,spotted munia,,,,,Spotted Munia
,,,,swallow,,,,,Swallow
,,,,taylor bird,,,,,Tailorbird
,,,,house crow,,,,,House Crow
,,,,jungle crow,,,,,Jungle Crow
,,,,Pariah kite,,,,,Pariah Kite
,4:20 pm – 6:00 pm,,Clear Sky,red whiskered bulbul,,,,Pair,Red-whiskered Bulbul
,,,,White Headed Babbler,,,,,White-headed babbler
,,,,purple rumped sunbird,,,,,Purple-rumped Sunbird
,,,,koel,,,,,Koel
,,,,Coucal,heard,,,,Coucal
,,,,spotted dove,,,,,Spotted Dove
,,,,grey drongo,,,,,grey drongo
,,,,purple sunbird,,,,,Purple Sunbird
,,,,Rose Ringed Parakeet,,,,,Rose-ringed Parakeet
,,,,small green bee eater,,,,,Small Green Bee-eater
,,,,little minivet,,,,,Little Minivet
,,,,iora,,,,,Iora
,,,,blck headed cuckoo shrike,,,,,Black-headed Cuckoo Shrike
,,,,indian cuckoo,,,,,Indian Cuckoo
,,,,taylor bird,,,,,Tailorbird
,,,,white breasted kingfisher,heard,,,,White-breasted Kingfisher
,,,,pond heron,,,,,Pond Heron
,,,,Red wattled Lapwing,,,,,Red-wattled Lapwing
,,,,hair creasted drongo,,,,,Hair-crested Drongo
,,,,pied wagtail,,,,,Pied Wagtail
,,,,red flower pecker,,,,,Red-flowered Sunbird
,,,,little brown dove,,,,,Little Brown Dove
,,,,roufous bellied babbler,,,,,Rufous-bellied Babbler
,,,,golden black kingfisher?,,,,,golden black kingfisher
,,,,White breasted water hen,,,,,White-breasted waterhen
,,,,jungle babbler,,,,,Jungle Babbler
,,,,myna,,,,,Myna
,,,,paradise fly catcher,,,,,Paradise Flycatcher
,,,,dabchick,,,,,dabchick
,,,,tree pie,,,,,Treepie
,,Sumavanam,Clear Sky,pariah kite,,,,,Pariah Kite
,,,,Black Drongo,,,,,Black Drongo
,,,,purple sunbird,,,,,Purple Sunbird
,,,,red vented bulbul,,,,,Red-vented Bulbul
,,,,marsh harrier,,,,,Marsh Harrier
,,,,myna,,,,,Myna
,,,,White Headed Babbler,,,,,White-headed babbler
,,,,iora,heard,,,,Iora
,,,,creasted serpant eagle,,,,,crested serpent eagle
,,,,indian robin,,,,,Indian Robin
,,,,little brown dove,,,,,Little Brown Dove
,,,,pond herron,,,,,Pond Heron
