Date,Time,Location,Weather,Bird Species,Notes,Count,Sex,Comments,corrected_name
,,,,Indian plain wren warbler ,,,,,Indian Plain Wren Warbler
,,,,Franklins wren warbler,,,,,"Franklin""s Wren Warbler"
,,,,Rose Ringed Parakeet,,,,,Rose-ringed Parakeet
,,,,pariah kite,,,,,Pariah Kite
,,,,shikra,,,,,Shikra
,,,,Tree pie,,,,,Treepie
,,,,koel,,,,,Koel
,,,,greenish leaf warbler,,,,,greenish leaf warbler
,,,,spotted dove,,,,,Spotted Dove
10-10-99,,Mouth of the valley,,Spot billed ducks,,,,,Spot-billed Ducks
,,,,white browed bulbul,,,,,White-browed Bulbul
,,,,twany eagle,,,,,Tawny Eagle
,,,,red vented bulbul,,,,,Red-vented Bulbul
,,,,indian roller,,,,,Indian Roller
,,,,pariah kite,,,,,Pariah Kite
,,,,red vented bulbul,,,,,Red-vented Bulbul
,,,,kestral,,,,,Kestrel
,,,,blue rock pigeon,,,,,Blue Rock Pigeon
,,,,myna,,,,,Myna
,,,,Shahin falcon,,,,,Shaheen Falcon
,,,,red rumped swallow,,,,,Red-rumped Swallow
,,,,Indian roller,,,,,Indian Roller
,,,,Drongo,,,,,Drongo
,,,,baya weaver bird,,,,,Baya weaver
,,,,roufous tailed finch lark,,,,,Rufous-tailed Finch Lark
,,,,spotted owlet,,,,,Spotted Owlet
,,,,wood shrike,,,,,Woodshrike
,,,,sirkeer cuckoo,,,,,Sirkeer Cuckoo
,,,,creasted honey buzzard,,,,Ruddy Mongoose spotted,crested honey buzzard
,,,,purple rumped sunbird,,,,,Purple-rumped Sunbird
,,,,red rumped swallow,,,,,Red-rumped Swallow
,,,,pied bush chat,,,,,Pied Bushchat
,,,,bush lark,,,,,Bush Lark
,,,,white breasted kingfisher,,,,,White-breasted Kingfisher
,,,,coppersmith,,,,,Coppersmith
,,,,brown shrike,,,,,Brown Shrike
,,,,spotted munia,,,,,Spotted Munia
,,,,pond heron,,,,,Pond Heron
,,,,purple sunbird,,,,,Purple Sunbird
,,,,spotted dove,,,,,Spotted Dove
,,,,streaked fantial flycatcher,,,,,Streaked Fantail Flycatcher
,,,,yellow eyed babbler,,,,,Yellow-eyed Babbler
,,,,Ashy wren warbler,,,,,Ashy Wren Warbler
,,,,Franklins wren warbler,,,,,"Franklin""s Wren Warbler"
,,,,white breasted water hen,,,,,White-breasted Waterhen
,,,,paradise fly catcher,,,,,Paradise Flycatcher
,,,,tickles flowerpecker,,,,,"Tickell""s Flowerpecker"
,,,,Rose Ringed Parakeet,,,,,Rose-ringed Parakeet
,,,,grey wagtail,,,,,grey wagtail
30-1-00,,Lost Pond,Climate- Cool,Blue throated flucatcher,,,,,Blue Throated Flycatcher
,,,,coppersmith,,,,,Coppersmith
,,,,Koel,,,,,Koel
,,,,Emerald dove,,,,,Emerald Dove
,,,,Purple sunbird,,,,,Purple Sunbird
,,,,Blyths reed warbler,,,,,"Blyth""s Reed Warbler"
,,,,greenish leaf warbler,,,,,greenish leaf warbler
,,,,red vented bulbul,,,,,Red-vented Bulbul
,,,,grey drongo,,,,,grey drongo
,,,,Hoopoe,,,,,Hoopoe
,,,,white browed bulbul,,,,,White-browed Bulbul
,,,,Indian robin,,,,,Indian Robin
,,,,Coucal,,,,,Coucal
,,,,tailor bird,,,,,Tailorbird
,,,,magpie robin,,,,,Magpie Robin
,,,,Loten sunbird,,,,,Loten Sunbird
,,,,hair creasted drongo,,,,,Hair-crested Drongo
,,,,Iora,,,,,Iora
,,,,spotted dove,,,,,Spotted Dove
,,,,Tree pie,,,,,Treepie
,,,,Egret,,,,,Egret
,,,,plaintive cuckoo,,,,,Plaintive Cuckoo
,,,,baya weaver bird,,,,,Baya weaver
,,,,house swift,,,,,House Swift
,,,,little green beeeater,,,,,Little Green Bee-eater
,,,,roufous tailed finch lark,,,,,Rufous-tailed Finch Lark
,,,,lesser white throat,,,,,Lesser Whitethroat
,,,,red rumped swallow,,,,,Red-rumped Swallow
,,,,large grey cuckoo shrike,,,,,Large Grey Cuckooshrike
5-3-00,,,Clear and Cool,Blue throated flucatcher,,,,,Blue Throated Flycatcher
,,,,magpie robin,,,,,Magpie Robin
,,,,hoopoe,,,,,Hoopoe
,,,,purple rumped sunbird,,,,,Purple-rumped Sunbird
,,,,little brown dove,,,,,Little Brown Dove
,,,,White Headed Babbler,,,,,White-headed babbler
,,,,Rose Ringed Parakeet,,,,,Rose-ringed Parakeet
,,,,pariah kite,,,,,Pariah Kite
,,,,Koel,,,,,Koel
,,,,Blyths reed warbler,,,,,"Blyth""s Reed Warbler"
,,,,Purple sunbird,,,,,Purple Sunbird
,,,,white browed bulbul,,,,,White-browed Bulbul
,,,,coppersmith,,,,,Coppersmith
,,,,tailor bird,,,,,Tailorbird
,,,,greenish leaf warbler,,,,,greenish leaf warbler
,,,,red vented bulbul,,,,,Red-vented Bulbul
,,,,coucal,,,,,coucal
,,,,lwood shrike,,,,,Wood Shrike
,,,,white breasted kingfisher,,,,,White-breasted Kingfisher
,,,,lesser white throat,,,,,Lesser Whitethroat
,,,,spotted munia,,70,,,Spotted Munia
,,,,roufous tailed finch lark,,,,,Rufous-tailed Finch Lark
,,,,black backed woodpecker,,,,,Black-backed woodpecker
,,,,common myna,,,,,Common Myna
,,,,red whiskered bulbul,,,,,Red-whiskered Bulbul
,,,,indian robin,,,,,Indian Robin
,,,,paradise fly catcher,,,,,Paradise Flycatcher
,,,,red rumped swallow,,,,,Red-rumped Swallow
,,,,grey wagtail,,,,,grey wagtail
,,,,brown flycatcher,,,,,Brown Flycatcher
,,,,grey drongo,,,,,grey drongo
,,,,tickles flowerpecker,,,,,"Tickell""s Flowerpecker"
,,,,blue rock pigeon,,,,,Blue Rock Pigeon
,,,,Loten sunbird,,,,,Loten Sunbird
,,,,Chloropsis,,,,,Chloropsis
,,,,spotted dove,,,,,Spotted Dove
,,,,red breasted flycatcher,,,,,Red-breasted Flycatcher
,,,,cattle egret,,,,,Cattle Egret
,,,,indian roller,,,,,Indian Roller
,,,,pond heron,,,,,Pond Heron
,,,,pied bush chat,,,,,Pied Bushchat
,,,,little green beeeater,,,,,Little Green Bee-eater
,,,,white breasted water hen,,,,,White-breasted Waterhen
,,,,Ashy wren warbler,,,,,Ashy Wren Warbler
,,,,white backed munia,,,,,White-backed Munia
,,,,large pied wagtail,,,,,Large Pied Wagtail
,,,,red wattled lapwing,,,,,Red-wattled Lapwing
,,,,black headed cuckoo shrike,,,,,Black-headed cuckooshrike
,,,,Tree pie,,,,,Treepie
,,,,house swift,,,,,House Swift
19-3-00,6:25 am - ,,Clear and Cool,grey wagtail,,,,,grey wagtail
,,,,shikra,,,,,Shikra
,,,,coucal,,,,,coucal
,,,,grey drongo,,,,,grey drongo
,,,,white browed bulbul,,,,,White-browed Bulbul
,,,,White Headed Babbler,,,,,White-headed babbler
,,,,paradise fly catcher,,,,,Paradise Flycatcher
,,,,grey drongo,,,,,grey drongo
,,,,Rose Ringed Parakeet,,,,,Rose-ringed Parakeet
,,,,red whiskered bulbul,,,,,Red-whiskered Bulbul
,,,,Blyths reed warbler,,,,,"Blyth""s Reed Warbler"
,,,,Iora,,,,,Iora
,,,,tailor bird,,,,,Tailorbird
,,,,Koel,,,,,Koel
,,,,myna,,,,,Myna
,,,,purple rumped sunbird,,,,,Purple-rumped Sunbird
,,,,coppersmith,,,,,Coppersmith
,,,,white breasted kingfisher,,,,,White-breasted Kingfisher
,,,,loten sunbird,,,,,Loten Sunbird
,,,,Indian robin,,,,,Indian Robin
,,,,red vented bulbul,,,,,Red-vented Bulbul
,,,,twany eagle,,,,,Tawny Eagle
,,,,pied bush chat,,,,,Pied Bushchat
,,,,little brown dove,,,,,Little Brown Dove
,,,,roufous winged bush lark,heard,,,,Rufous-winged Bush Lark
,,,,red rumped swallow,,,,,Red-rumped Swallow
,,,,little green beeeater,,,,,Little Green Bee-eater
,,,,Purple sunbird,,,,,Purple Sunbird
,,,,jungle wren warbler,,,,,Jungle Wren-Warbler
,,,,blue rock pigeon,,,,,Blue Rock Pigeon
,,,,Franklins wren warbler,,,,Grey breast,"Franklin""s Wren Warbler"
,,,,Indian wren warbler,,,,No markings on the tail,Indian Wren Warbler
,,,,Black drongo,,,,White spot near the beak,Black Drongo
,,,,white throated munia,,,,,White-throated Munia
,,,,roufous bellied babbler,,,,Cher cher cher,Rufous-bellied Babbler
,,,,dusky craig martin,,,,,dusky crag martin
,,,,grey wagtail,,,,,grey wagtail
,,,,sirkeer cuckoo,,,,,Sirkeer Cuckoo
,,,,Ashy wren warbler,,,,,Ashy Wren Warbler
,,,,bush koel,,,,,Bush Koel
,,,,pariah kite,,,,,Pariah Kite
,,,,yellow eyed babbler,,,,,Yellow-eyed Babbler
,,,,house swift,,,,,House Swift
,,,,Hoopoe,,,,,Hoopoe
,,,,short toed eagle,,,,,Short-toed Eagle
,,,,tickles flowerpecker,,,,,"Tickell""s Flowerpecker"
,,,,Cattle egret,,,,,Cattle Egret
,,,,golden oriole,,,F,,golden oriole
,,,,spotted dove,,,,,Spotted Dove
,,,,pond heron,,,,,Pond Heron
,,,,greenish leaf warbler,,,,,greenish leaf warbler
,,,,cuckoo shrike,,,,,cuckoo shrike
,,,,magpie robin,,,,,Magpie Robin
,,,,grey wagtail,,,,,grey wagtail
18-6-00,6:00 am – 7:45 am,Lost Pond,"Cloudy Sky, windy",purple rumped sunbird,,,,,Purple-rumped Sunbird
,,,,magpie robin,,,,,Magpie Robin
,,,,Hoopoe,,,,,Hoopoe
,,,,White Headed Babbler,,,,,White-headed babbler
,,,,tailor bird,,,,,Tailorbird
,,,,spotted dove,,,,,Spotted Dove
,,,,short toed eagle,,,,,Short-toed Eagle
,,,,red vented bulbul,,,,,Red-vented Bulbul
,,,,coucal,,,,,coucal
,,,,indian robin,,,,,Indian Robin
,,,,house swift,,,,,House Swift
,,,,white browed bulbul,,,,,White-browed Bulbul
,,,,red whiskered bulbul,,,,,Red-whiskered Bulbul
,,,,Iora,,,,,Iora
,,,,common myna,,,,,Common Myna
,,,,wood shrike,,,,,Woodshrike
,,,,pied creasted cuckoo,,,,,Pied Crested Cuckoo
,,,,pariah kite,,,,,Pariah Kite
,,,,little green beeeater,,,,,Little Green Bee-eater
,,,,bush lark,,,,,Bush Lark
25-6-00,6:00 am -,,Cloudy sky,White Headed Babbler,seen,,,,White-headed babbler
,,,,roufopus winged bush alrk,seen,,,,Rufous-winged Bushlark
,,,,white breasted kingfisher,seen,,,,White-breasted Kingfisher
,,,,black winged kite,seen,,,,Black-winged kite
,,,,pariah kite,seen,,,,Pariah Kite
,,,,plain wren warbler,seen,,,,Plain Wren Warbler
,,,,little brown dove,seen,,,,Little Brown Dove
,,,,Black drongo,seen,,,,Black Drongo
,,,,common swallow,seen,,,,Common Swallow
,,,,little green beeeater,seen,,,,Little Green Bee-eater
,,,,indian robin,seen,,,,Indian Robin
,,,,Iora,seen,,,,Iora
,,,,twany eagle,seen,,,,Tawny Eagle
,,,,red vented bulbul,seen,,,,Red-vented Bulbul
,,,,Franklins wren warbler,seen,,,,"Franklin""s Wren Warbler"
,,,,great horned owl,seen,,,,great horned owl
,,,,jungle wren warbler,seen,,,,Jungle Wren-Warbler
,,,,roufous bellied babbler,seen,,,,Rufous-bellied Babbler
,,,,Ashy wren warbler,heard,,,,Ashy Wren Warbler
,,,,black backed woodpecker,heard,,,,Black-backed woodpecker
,,,,red vented bulbul,seen,,,,Red-vented Bulbul
,,,,pied bush chat,seen,,,,Pied Bushchat
,,,,coppersmith,seen,,,,Coppersmith
,,,,twany eagle,seen,,,,Tawny Eagle
,,,,pond heron,seen,,,,Pond Heron
,,,,purple rumped sunbird,seen,,,,Purple-rumped Sunbird
,,,,brahminy myna,seen,,,,Brahminy Myna
,,,,brown flycatcher,seen,,,Juvenile,Brown Flycatcher
2-7-00,6:25 am - ,,Cloudy sky,little brown dove,,,,,Little Brown Dove
,,,,spotted dove,,,,,Spotted Dove
,,,,short toed eagle,,,,,Short-toed Eagle
,,,,pariah kite,,,,,Pariah Kite
,,,,white breasted kingfisher,,,,,White-breasted Kingfisher
,,,,myna,,,,,Myna
,,,,tailor bird,,,,,Tailorbird
,,,,white browed bulbul,,,,,White-browed Bulbul
,,,,hoopoe,,,,,Hoopoe
,,,,indian robin,,,,,Indian Robin
,,,,White Headed Babbler,,,,,White-headed babbler
,,,,red vented bulbul,,,,,Red-vented Bulbul
,,,,Tree pie,,,,,Treepie
,,,,sirkeer cuckoo,,,,,Sirkeer Cuckoo
,,,,bush lark,,,,,Bush Lark
,,,,shikra,,,,,Shikra
,,,,Iora,,,,,Iora
,,,,magpie robin,,,,,Magpie Robin
,,,,coucal,,,,,coucal
,,,,little green beeeater,,,,,Little Green Bee-eater
,,,,coppersmith,,,,,Coppersmith
,,,,Franklins wren warbler,,,,,"Franklin""s Wren Warbler"
16-7-00,6:20 am - ,Uday Rock,,Drongo,,,,,Drongo
,,,,spotted dove,,,,,Spotted Dove
,,,,twany eagle,,,,,Tawny Eagle
,,,,roufous tailed finch lark,,,,,Rufous-tailed Finch Lark
,,,,red rumped swallow,,,,,Red-rumped Swallow
,,,,bush chat,,,,,Bush Chat
,,,,Franklins wren warbler,,,,,"Franklin""s Wren Warbler"
,,,,Purple sunbird,,,,,Purple Sunbird
,,,,pond heron,,,,,Pond Heron
,,,,Ashy wren warbler,,,,,Ashy Wren Warbler
,,,,spotted munia,,,,,Spotted Munia
,,,,red vented bulbul,,,,,Red-vented Bulbul
,,,,koel,,,,,Koel
,,,,black winged kite,,,,Black shouldered kite,Black-winged kite
,,,,ashy crowned finch lark,,,,,Ashy-crowned finch lark
,,,,little green beeeater,,,,,Little Green Bee-eater
,,,,large cuckoo shrike,,,,,Large Cuckooshrike
,,,,purple rumped sunbird,,,,,Purple-rumped Sunbird
,,,,white breasted kingfisher,,,,,White-breasted Kingfisher
,,,,indian robin,,,,,Indian Robin
,,,,white headed babler,,,,,White-headed Babbler
,,,,malkoha,,,,,Malkoha
,,,,little brown dove,heard,,,,Little Brown Dove
,,,,Tree pie,heard,,,,Treepie
,,,,Iora,heard,,,,Iora
,,,,Indian wren warbler,,,,,Indian Wren Warbler
,,,,dusky craig martin,,,,,dusky crag martin
,,,,coppersmith,heard,,,,Coppersmith
,,,,brahminy myna,,,,,Brahminy Myna
,,,,briown flycatcher,,,,,Brown Flycatcher
,,,,loten sunbird,,,,,Loten Sunbird
,,,,tickles flowerpecker,,,,,"Tickell""s Flowerpecker"
,,,,blue rock pigeon,,,,,Blue Rock Pigeon
6-8-00,6:15 am - ,,Cloudy sky,little green beeeater,,,,,Little Green Bee-eater
,,,,tickles flowerpecker,,,,,"Tickell""s Flowerpecker"
,,,,red vented bulbul,,,,,Red-vented Bulbul
,,,,house swift,,,,,House Swift
,,,,purp[le sunbird,,,,,Purple Sunbird
,,,,roufous tailed finch lark,,,,,Rufous-tailed Finch Lark
,,,,Iora,,,,,Iora
,,,,Koel,,,,,Koel
,,,,Franklins wren warbler,,,,,"Franklin""s Wren Warbler"
,,,,tailor bird,,,,,Tailorbird
,,,,purple rumped sunbird,,,,,Purple-rumped Sunbird
,,,,white browed bulbul,,,,,White-browed Bulbul
,,,,red whiskered bulbul,,,,,Red-whiskered Bulbul
,,,,indian robin,,,,,Indian Robin
,,,,paradise fly catcher,,,,,Paradise Flycatcher
,,,,magpie robin,,,,,Magpie Robin
,,,,brown flycatcher,,,,,Brown Flycatcher
,,,,little brown dove,,,,,Little Brown Dove
,,,,spotted munia,,,,,Spotted Munia
,,,,ringed dove,,,,,Ringed Dove
,,,,honey buzzard,,,,,Honey Buzzard
,,,,coppersmith,,,,,Coppersmith
13-8-00,6:30 am – 8:00 am,Cave rock hill,,Brown fish owl,,,,,Brown Fish Owl
,,,,loten sunbird,,,,,Loten Sunbird
,,,,tickles flowerpecker,,,,,"Tickell""s Flowerpecker"
,,,,coucal,,,,,coucal
,,,,sirkeer cuckoo,,,M & F,,Sirkeer Cuckoo
,,,,house swift,,,,,House Swift
,,,,Indian robin,,,,,Indian Robin
,,,,little green beeeater,,,,,Little Green Bee-eater
,,,,white browed bulbul,,,,,White-browed Bulbul
,,,,red vented bulbul,,,,,Red-vented Bulbul
,,,,red rumped swallow,,,,,Red-rumped Swallow
,,,,spotted dove,,,,,Spotted Dove
,,,,blue rock pigeon,,,,,Blue Rock Pigeon
,,,,dusky craig martin,,,,,dusky crag martin
,,,,myna,,,,,Myna
,,,,bustard quail,,,,,Bustard Quail
,,,,jungle bush quail,,,,,Jungle Bush Quail
,,,,purple rumped sunbird,,,,,Purple-rumped Sunbird
,,,,common babler,,,,,Common Babbler
,,,,spotted munia,,,,,Spotted Munia
,,,,bush lark,,,,,Bush Lark
,,,,Hoopoe,,,,,Hoopoe
8-10-00,,Mouth of the valley,Partially Cloudy,Iora,,,,,Iora
,,,,greenish leaf warbler,,,,,greenish leaf warbler
,,,,drongo,,,,,drongo
,,,,spotted dove,,,,,Spotted Dove
,,,,white browed bulbul,,,,,White-browed Bulbul
,,,,red vented bulbul,,,,,Red-vented Bulbul
,,,,coucal,,,,,coucal
,,,,loten sunbird,,,,,Loten Sunbird
,,,,coppersmith,,,,,Coppersmith
,,,,small minivet,,,,,Small Minivet
,,,,white headed Babbler,,,,,White-headed Babbler
,,,,grey drongo,,,,,grey drongo
,,,,short toed eagle,,,,,Short-toed Eagle
,,,,pond heron,,,,,Pond Heron
,,,,streaked fantail,,,,,Streaked Fantail
,,,,roufous winged bush lark,,,,,Rufous-winged Bush Lark
,,,,red rumped swallow,,,,,Red-rumped Swallow
,,,,little green beeeater,,,,,Little Green Bee-eater
,,,,grey tit,,,,,grey tit
,,,,Indian robin,,,,,Indian Robin
,,,,Hoopoe,,,,,Hoopoe
,,,,ashy crowned finch lark,,,,,Ashy-crowned finch lark
10-12-00,6:45 am – 8:00 am,Perco Tank,,Golden oriole,,,,,Golden Oriole
,,,,myna,,,,,Myna
,,,,W B bulbul,,,,,White-browed bulbul
,,,,white headed babler,,,,,White-headed Babbler
,,,,Hoopoe,,,,,Hoopoe
,,,,grey drongo,,,,,grey drongo
,,,,Koel,,,,,Koel
,,,,Rose Ringed Parakeet,,,,,Rose-ringed Parakeet
,,,,magpie robin,,,,,Magpie Robin
,,,,ashy wren warbler,,,,,Ashy-wren warbler
,,,,spotted dove,,,,,Spotted Dove
,,,,rose finch,,,,,Rose Finch
,,,,golden backed woodpecker,,,,,golden-backed woodpecker
,,,,purple rumped sunbird,,,,,Purple-rumped Sunbird
,,,,tickles flowerpecker,,,,,"Tickell""s Flowerpecker"
,,,,coucal,,,,,coucal
,,,,blossom headed parakeet,,,,,Blossom-headed Parakeet
,,,,indian tree pipet,,,,,Indian Tree Pipit
,,,,pied wagtail,,,,,Pied Wagtail
,,,,white breasted kingfisher,,,,,White-breasted Kingfisher
,,,,red whiskered bulbul,,,,,Red-whiskered Bulbul
,,,,bush chat,,,F,,Bush Chat
,,,,wren warbler,,,,,Wren Warbler
,,,,little brown dove,,,,,Little Brown Dove
,,,,red wattled lapwing,,,,,Red-wattled Lapwing
,,,,indian roller,,,,,Indian Roller
14-12-00,6:45 am – 8:15 am,Mouth of the valley,,Black drongo,,,,,Black Drongo
,,,,black bellied finch lark,,,,,Black-bellied finch lark
,,,,little brown dove,,,,,Little Brown Dove
,,,,roufous tailed finch lark,,,,,Rufous-tailed Finch Lark
,,,,black winged kite,,,,,Black-winged kite
,,,,spotted dove,,,,,Spotted Dove
,,,,common myna,,,,,Common Myna
,,,,red vented bulbul,,,,,Red-vented Bulbul
,,,,brown shrike,,,,,Brown Shrike
,,,,purple sunbird,,,,,Purple Sunbird
,,,,Tree pie,,,,,Treepie
,,,,pied creasted cuckoo,,,,,Pied Crested Cuckoo
,,,,white eyed buzzard,,,,,White-eyed Buzzard
31-12-00,,Cave rock hill,,grey drongo,,,,,grey drongo
,,,,hair creasted drongo,,,,,Hair-crested Drongo
,,,,white headed Babbler,,,,,White-headed Babbler
,,,,golden oriole,,,M & F,,golden oriole
,,,,spotted owlet,,,,,Spotted Owlet
,,,,Hoopoe,,,,,Hoopoe
,,,,spotted dove,,,,,Spotted Dove
,,,,Koel,,,,,Koel
,,,,coppersmith,,,,,Coppersmith
,,,,indian robin,,,,,Indian Robin
,,,,W B bulbul,,,,,White-browed bulbul
,,,,lesser white throat,,,,,Lesser Whitethroat
,,,,purple sunbird,,,,,Purple Sunbird
,,,,sirkeer cuckoo,,,,,Sirkeer Cuckoo
,,,,Blyths reed warbler,,,,,"Blyth""s Reed Warbler"
,,,,tailor bird,,,,,Tailorbird
,,,,blue rock pigeon,,,,,Blue Rock Pigeon
,,,,blue bearded beeeater,,,,,Blue-bearded Bee-eater
,,,,red vented bulbul,,,,,Red-vented Bulbul
,,,,dusky craig martin,,,,,dusky crag martin
,,,,common babler,,,,,Common Babbler
,,,,rose finch,,,,,Rose Finch
,,,,little brown dove,,,,,Little Brown Dove
,,,,bush lark,,,,,Bush Lark
,,,,B shrike,,,,,B Shrike
,,,,roufous bellied babbler,,,,,Rufous-bellied Babbler
,,,,bush quail,,,,,Bush Quail
,,,,common swallow,,,,,Common Swallow
,,,,red rumped swallow,,,,,Red-rumped Swallow
,,,,kestral,,,,,Kestrel
,,,,tailor bird,,,,,Tailorbird
,,,,purple sunbird,,,,,Purple Sunbird
,,,,lesser white throat,,,,,Lesser Whitethroat
,,,,little green beeeater,,,,,Little Green Bee-eater
,,,,pond heron,,,,,Pond Heron
4-3-01,,Last Lake,,hair creasted drongo,,,,,Hair-crested Drongo
,,,,grey drongo,,,,,grey drongo
,,,,golden oriole,,,,,golden oriole
,,,,magpie robin,,,,,Magpie Robin
,,,,koel,,,,,Koel
,,,,white breasted kingfisher,,,,,White-breasted Kingfisher
,,,,greenish leaf warbler,,,,,greenish leaf warbler
,,,,spotted owlet,,,,,Spotted Owlet
,,,,Hoopoe,,,,,Hoopoe
,,,,green billed malcoha,,,,,green-billed malcoha
,,,,little brown dove,,,,,Little Brown Dove
,,,,roufous bellied finchlark,,,,,Rufous-bellied Finch Lark
,,,,pariah kite,,,,,Pariah Kite
,,,,Iora,,,,,Iora
,,,,lesser white throat,,,,,Lesser Whitethroat
,,,,scarlet minivet,,,,,Scarlet Minivet
,,,,Blyths reed warbler,,,,,"Blyth""s Reed Warbler"
,,,,white browed bulbul,,,,,White-browed Bulbul
,,,,wood shrike,,,,,Woodshrike
,,,,brown flycatcher,,,,,Brown Flycatcher
,,,,black headed cuckoo shrike,,,,,Black-headed cuckooshrike
,,,,paradise fly catcher,,,F,,Paradise Flycatcher
,,,,tickles flowerpecker,,,,,"Tickell""s Flowerpecker"
,,,,purple rumped sunbird,,,,,Purple-rumped Sunbird
,,,,red whiskered bulbul,,,,,Red-whiskered Bulbul
,,,,purple sunbird,,,,,Purple Sunbird
,,,,rufous bellied babbler,,,,,Rufous-bellied Babbler
,,,,yellow eyed babbler,,,,,Yellow-eyed Babbler
,,,,Rose Ringed Parakeet,,,,,Rose-ringed Parakeet
,,,,grey partridge,,,,,grey partridge
,,,,indian robin,,,,,Indian Robin
,,,,coppersmith,,,,,Coppersmith
,,,,black backed woodpecker,,,,,Black-backed woodpecker
,,,,myna,,,,,Myna
,,,,spotted dove,,,,,Spotted Dove
,,,,red rumped swallow,,,,,Red-rumped Swallow
,,,,Black drongo,,,,,Black Drongo
,,,,tailor bird,,,,,Tailorbird
,,,,red vented bulbul,,,,,Red-vented Bulbul
,,,,little green beeeater,,,,,Little Green Bee-eater
24-6-01,6:30 am – 8:00 am,Perco Tank,,tailor bird,,,,,Tailorbird
,,,,coppersmith,,,,,Coppersmith
,,,,tickles flowerpecker,,,,,"Tickell""s Flowerpecker"
,,,,pond heron,,,,,Pond Heron
,,,,golden backed woodpecker,,,,,golden-backed woodpecker
,,,,Iora,,,,,Iora
,,,,white headed Babler,,,,,White-headed Babbler
1-7-01,,Cave rock hill,,red vented bulbul,,,,,Red-vented Bulbul
,,,,spotted dove,,,,,Spotted Dove
,,,,indian robin,,,,,Indian Robin
22-7-01,6:30 am – 8:00 am,Mouth of the valley,Cloudy Sky,indian robin,,,,,Indian Robin
,,,,sirkeer cuckoo,,,,,Sirkeer Cuckoo
,,,,white breasted kingfisher,,,,,White-breasted Kingfisher
,,,,red vented bulbul,,,,,Red-vented Bulbul
,,,,little brown dove,,,,,Little Brown Dove
,,,,pariah kite,,,,,Pariah Kite
,,,,coucal,,,,,coucal
,,,,Indian wren warbler,,,,,Indian Wren Warbler
